"Id","Avg_Weekly_Views__c","Avg_Weekly_Clicks__c","AdvertisementWeeks__c","MQLTestTakers__c","MQLs__c","SQLTestTakers__c","SQLs__c","InterviewTestTakers__c","InterviewPassers__c","Hires__c"
"a1O2j0000015GRJEA2","46.66666666666667","0.0","0.42857142857142855","10","4.0","1","0.0","0","0.0","0"
"a1O2j0000015GFjEAM","159.35516431924887","23.416314553990606","77.85714285714286","143","95.0","36","1.0","0","0.0","0"
